Release_ID,Commits,Bugs_Reported,Critical_Bugs,Test_Coverage,Failed_Test_Cases,Code_Churn,Cyclomatic_Complexity,Files_Changed,Developer_Experience,Security_Vulnerabilities,Build_Time_Minutes,Deployment_Frequency,Risk_Level
R1222,22,9,3,63.8,3,8910,34,43,1.9,4,34,20,High
R1223,100,2,2,83.0,7,5751,5,119,3.3,2,57,14,Medium
R1224,319,23,4,71.2,24,6707,21,72,8.3,5,17,3,High
R1225,323,4,1,87.1,8,3021,21,73,2.0,6,38,19,Medium
R1226,350,24,6,69.5,24,9802,22,104,11.2,4,47,16,High
R1227,127,5,0,89.5,6,1596,14,19,2.9,6,5,11,Low
R1228,59,28,0,61.0,25,7303,32,86,7.3,2,37,4,High
R1229,143,17,6,71.6,12,7873,27,40,12.7,2,38,3,High
R1230,472,19,3,97.0,20,4650,14,108,6.8,3,36,9,High
R1231,370,3,3,94.6,20,5804,16,4,13.1,6,34,12,Medium
R1232,392,13,3,82.1,6,6366,28,23,14.0,0,17,15,Low
R1233,204,16,3,55.2,9,5481,11,117,5.8,2,37,1,High
R1234,330,8,0,83.5,20,7943,30,6,14.9,5,21,9,Medium
R1235,340,1,0,93.0,15,7546,36,23,7.4,6,46,18,Medium
R1236,433,3,0,71.3,19,2609,16,112,12.8,0,31,4,Low
R1237,48,14,0,68.8,17,4646,17,84,9.4,0,26,11,Medium
R1238,479,22,2,94.9,18,6100,38,2,14.1,3,31,2,Medium
R1239,53,6,6,61.5,8,1475,16,57,1.1,4,17,17,High
R1240,229,5,0,68.7,17,5845,12,44,7.3,6,49,3,Medium
R1241,309,29,7,58.9,2,3090,10,24,5.1,5,6,6,High
R1242,423,0,0,83.1,14,1431,20,40,12.6,5,60,7,Medium
R1243,402,24,2,68.7,12,4803,16,36,2.5,2,31,8,Medium
R1244,447,6,4,93.9,5,4932,21,90,6.9,0,36,12,Medium
R1245,316,11,5,89.0,16,7467,15,5,14.3,4,29,5,Medium
R1246,295,18,3,98.7,13,5783,23,27,5.5,4,40,9,Medium
R1247,66,16,3,66.4,14,4373,7,119,2.2,5,45,6,High
R1248,263,4,4,80.8,11,9336,29,85,9.0,0,25,4,Medium
R1249,342,11,0,62.0,15,5583,26,83,13.6,1,27,10,Medium
R1250,103,14,8,63.2,0,7292,34,76,8.9,3,51,13,High
R1251,262,26,3,66.1,11,9945,26,62,10.3,2,7,8,High
R1252,410,29,8,59.7,13,4513,30,76,0.9,4,15,10,High
R1253,473,19,8,63.7,18,2386,13,85,5.3,0,10,10,High
R1254,425,24,2,90.3,14,6587,15,59,0.5,1,17,6,Medium
R1255,174,9,1,63.1,6,7252,10,93,4.0,5,40,12,Medium
R1256,22,15,2,70.2,15,9108,30,90,3.6,3,47,13,High
R1257,445,14,3,88.6,3,6450,13,41,11.6,1,30,11,Low
R1258,479,9,6,81.3,17,1274,27,63,10.2,4,6,8,Medium
R1259,473,19,2,88.8,11,6035,26,65,12.4,4,43,13,Medium
R1260,488,2,2,61.1,6,824,18,39,6.8,2,29,6,Medium
R1261,237,4,4,68.7,21,7975,7,34,14.4,3,16,6,Medium
R1262,223,21,8,91.7,14,1453,27,88,11.1,5,60,13,High
R1263,431,25,0,62.1,4,9515,37,50,10.5,0,36,13,Medium
R1264,236,24,0,68.3,8,1999,33,65,5.9,3,50,11,Medium
R1265,452,17,5,59.9,5,7047,39,98,6.1,5,10,5,High
R1266,23,10,4,63.7,19,7554,32,7,7.2,0,12,16,Medium
R1267,255,11,0,94.1,21,6150,21,55,5.4,2,54,1,Medium
R1268,297,8,2,67.9,13,387,33,42,4.8,0,43,4,Medium
R1269,202,23,0,78.4,12,4173,16,11,8.3,1,51,5,Medium
R1270,344,15,6,94.3,11,7604,20,118,12.5,6,51,17,High
R1271,311,14,0,58.4,11,727,14,78,14.7,5,56,4,Medium
R1272,215,16,1,69.9,20,5047,32,52,0.8,5,21,3,High
R1273,448,29,6,97.5,25,3239,21,39,9.4,4,59,8,High
R1274,375,25,0,71.5,15,3625,32,36,11.3,6,16,9,High
R1275,276,21,0,81.6,5,4768,22,1,6.4,0,55,14,Low
R1276,356,4,4,66.8,19,5312,11,29,3.8,5,25,8,High
R1277,52,19,4,87.0,19,7647,31,82,9.1,4,29,16,High
R1278,496,17,0,70.1,10,5774,33,20,7.2,5,36,7,Medium
R1279,292,22,2,84.6,8,6701,7,85,12.9,0,45,16,Low
R1280,307,11,1,64.1,16,6148,24,38,11.4,3,48,15,Medium
R1281,35,4,2,82.5,18,7170,31,98,0.8,2,40,16,Medium
R1282,140,12,8,60.8,19,2123,11,51,3.7,0,41,10,High
R1283,111,27,2,88.7,23,6671,40,53,5.6,1,31,20,High
R1284,162,10,5,82.7,21,5306,37,69,8.2,1,59,13,High
R1285,273,24,7,67.6,14,2671,16,52,4.7,4,58,11,High
R1286,410,14,2,85.1,3,6380,31,54,6.4,5,6,20,Medium
R1287,134,4,4,99.0,19,9448,31,3,5.2,1,15,19,Medium
R1288,340,15,1,96.9,0,9952,29,71,7.9,1,59,6,Medium
R1289,254,11,3,62.7,22,3373,25,17,4.7,0,18,19,Medium
R1290,256,14,3,85.1,14,4063,16,60,7.8,0,56,20,Medium
R1291,448,10,2,65.8,23,1244,5,96,1.0,5,31,17,High
R1292,260,27,6,58.1,13,4360,39,16,10.9,4,46,18,High
R1293,385,0,0,76.2,23,1079,23,104,6.3,6,51,2,High
R1294,206,12,8,82.7,14,7121,12,14,2.6,2,53,19,High
R1295,405,25,1,86.8,11,6864,26,19,13.7,6,35,7,Medium
R1296,155,3,3,83.2,2,7607,36,97,4.0,2,26,10,Medium
R1297,372,14,5,89.6,22,4325,22,77,1.0,1,14,17,High
R1298,167,0,0,93.7,18,6042,23,40,14.2,1,41,10,Low
R1299,263,22,7,84.6,4,2206,14,78,4.7,3,21,8,Medium
R1300,34,27,3,80.7,4,9672,5,34,5.8,4,52,17,Medium
R1301,227,15,2,97.8,20,2653,37,41,8.1,3,60,16,High
R1302,351,5,5,76.2,15,6323,5,86,14.2,2,19,10,Medium
R1303,125,7,2,67.2,24,2059,17,46,7.7,4,45,1,High
R1304,450,23,8,94.5,23,3418,28,86,1.0,5,11,11,High
R1305,279,2,2,79.3,17,8910,10,103,1.3,4,38,8,Medium
R1306,145,8,2,85.3,20,4115,19,89,10.9,1,7,20,Medium
R1307,156,17,4,59.0,6,1143,13,67,4.9,1,19,8,Medium
R1308,319,24,7,75.4,17,936,25,102,9.7,1,35,4,High
R1309,246,2,2,63.7,17,9756,18,77,7.6,4,5,19,Medium
R1310,240,27,1,86.7,14,3291,34,1,4.2,3,43,9,Medium
R1311,272,20,2,69.5,15,8524,23,83,4.8,6,39,8,High
R1312,194,8,8,77.1,20,7309,12,97,14.2,3,5,11,High
R1313,477,16,7,76.8,5,1174,32,87,4.9,6,33,11,High
R1314,346,21,8,91.2,6,1881,19,28,5.0,2,25,17,Medium
R1315,261,3,3,95.8,6,9455,14,42,2.8,6,30,6,Medium
R1316,456,5,2,69.3,16,7862,31,100,11.0,1,21,16,Medium
R1317,498,27,4,71.3,9,5567,27,107,11.3,3,24,14,High
R1318,308,12,6,55.2,12,1006,31,46,9.9,1,34,9,High
R1319,29,26,3,64.2,22,4293,23,107,5.9,2,32,13,High
R1320,186,17,8,87.5,25,3622,37,57,12.9,0,9,8,High
R1321,102,10,7,96.4,18,7798,7,100,10.1,5,50,16,High
R1322,147,8,6,57.6,1,5714,22,69,5.9,2,12,16,Medium
R1323,88,28,1,69.3,24,6879,14,112,2.7,2,41,7,High
R1324,307,2,2,65.8,18,9055,21,72,8.2,2,49,1,Medium
R1325,91,24,1,93.3,22,5243,28,116,11.7,5,18,6,High
R1326,184,14,3,75.3,10,3360,21,33,9.3,0,13,4,Medium
R1327,348,13,6,72.4,15,886,38,8,13.7,4,28,1,High
R1328,309,13,0,97.2,25,5458,39,63,4.6,2,45,3,High
R1329,396,2,1,97.9,24,1940,39,21,12.1,6,59,3,High
R1330,313,29,7,81.8,6,1297,32,105,4.5,3,52,5,High
R1331,353,10,1,63.0,18,5667,34,68,11.8,5,57,14,High
R1332,475,0,0,80.3,0,6488,6,2,3.8,3,14,9,Low
R1333,458,7,5,78.4,20,3382,27,115,13.3,6,41,5,High
R1334,116,24,2,64.1,5,1753,6,69,9.2,6,7,5,Medium
R1335,296,11,1,69.4,10,3870,18,26,4.9,3,22,8,Medium
R1336,499,29,3,89.0,0,2349,33,16,12.6,3,6,15,Medium
R1337,464,23,3,71.7,14,7285,30,26,3.5,3,42,4,High
R1338,67,5,5,95.2,23,8562,12,21,11.5,0,36,20,Medium
R1339,203,23,5,73.3,6,1587,37,47,7.4,4,12,15,High
R1340,28,0,0,90.4,12,1739,27,47,14.2,6,9,14,Low
R1341,454,20,4,65.1,22,1483,29,113,7.3,2,51,11,High
R1342,43,4,3,62.8,0,2196,38,20,2.5,3,53,2,Medium
R1343,51,19,3,93.1,21,4901,28,80,6.5,1,31,6,High
R1344,109,29,8,97.5,23,3075,28,113,13.9,6,15,1,High
R1345,274,6,4,72.8,11,4444,25,4,11.9,2,6,16,Medium
R1346,37,23,2,95.2,1,8938,29,98,9.2,4,15,6,Medium
R1347,71,0,0,94.5,2,6979,9,15,14.5,3,31,18,Low
R1348,245,4,0,68.7,15,4308,13,42,10.0,2,44,4,Medium
R1349,264,15,3,60.5,16,2226,14,29,10.1,5,11,13,Medium
R1350,164,28,1,66.0,8,3124,24,43,10.8,3,47,19,Medium
R1351,286,16,4,88.4,4,5473,32,48,10.1,4,52,2,Medium
R1352,402,28,6,82.8,25,3342,16,2,2.6,0,58,8,High
R1353,102,12,5,55.5,15,8027,27,25,9.6,6,41,13,High
R1354,251,6,6,82.3,17,7306,12,96,4.5,6,37,11,High
R1355,192,28,2,66.2,25,8084,40,59,10.1,5,59,11,High
R1356,410,16,4,57.8,11,7088,6,70,2.3,1,34,4,High
R1357,81,17,4,60.6,11,5130,33,56,8.5,0,60,17,High
R1358,113,12,8,63.6,21,3734,6,26,11.1,2,38,20,High
R1359,419,4,4,78.1,25,8835,28,70,3.8,4,15,12,High
R1360,101,3,2,82.9,19,3807,14,70,14.2,4,32,7,Medium
R1361,162,1,1,68.0,16,7001,35,60,5.2,5,24,1,High
R1362,58,8,8,84.4,6,9831,9,8,11.4,1,14,16,Medium
R1363,441,5,3,72.2,5,6965,30,76,3.3,6,27,3,High
R1364,135,30,4,61.2,12,2122,14,27,6.9,5,22,11,High
R1365,25,20,1,77.9,16,1781,35,30,10.1,2,57,4,Medium
R1366,297,23,7,61.8,24,5693,22,6,6.0,2,12,15,High
R1367,238,18,2,93.6,22,8083,23,29,8.1,0,51,20,Medium
R1368,326,27,5,65.6,21,8202,32,54,1.3,0,60,9,High
R1369,451,23,4,94.8,20,8420,26,54,10.2,2,27,3,High
R1370,26,3,3,65.7,15,3727,32,86,4.4,6,57,16,High
R1371,307,19,6,81.7,21,6368,7,78,2.1,6,55,4,High
R1372,314,3,1,97.5,7,6009,31,105,6.2,5,7,12,Medium
R1373,351,25,7,92.5,18,8664,7,52,12.3,5,52,14,High
R1374,362,29,0,64.5,5,495,26,13,4.7,3,56,1,Medium
R1375,393,14,4,70.8,21,5736,27,32,4.5,6,8,11,High
R1376,254,22,4,88.8,5,3530,40,99,13.0,5,25,13,High
R1377,405,11,2,92.2,2,5568,27,79,8.3,6,58,8,Medium
R1378,182,26,4,59.5,23,1581,30,41,9.5,5,16,13,High
R1379,123,8,7,70.4,25,7272,28,97,2.8,1,25,1,High
R1380,77,6,4,95.0,22,9282,23,97,8.6,1,30,20,Medium
R1381,376,2,2,59.1,22,9897,30,110,4.3,5,26,18,High
R1382,201,12,2,95.5,3,4915,10,42,15.0,3,57,2,Low
R1383,145,17,2,84.4,8,531,36,29,12.6,1,20,8,Medium
R1384,245,20,3,61.4,9,4092,6,110,9.4,6,33,14,High
R1385,304,17,3,73.1,16,9617,30,81,8.8,3,52,9,High
R1386,381,25,5,90.4,8,7166,28,47,13.6,1,25,18,Medium
R1387,202,2,2,69.2,22,4145,39,75,2.4,6,37,16,High
R1388,294,10,1,90.5,19,3832,27,92,10.7,4,57,8,Medium
R1389,258,8,0,75.3,14,8245,32,9,14.3,1,6,18,Low
R1390,249,17,0,94.4,15,2522,9,88,5.6,5,22,19,Medium
R1391,149,30,0,86.4,15,7158,13,51,3.6,3,24,18,Medium
R1392,376,21,4,69.5,18,8422,31,19,11.6,5,42,11,High
R1393,461,0,0,86.3,11,9724,12,100,14.7,4,9,17,Low
R1394,231,23,2,87.2,7,9955,16,107,3.1,5,36,4,High
R1395,189,2,1,96.6,18,6447,31,49,10.6,1,59,11,Medium
R1396,113,3,3,70.6,22,7151,21,64,1.8,2,30,7,High
R1397,136,11,1,69.9,24,1640,38,33,0.8,4,8,18,High
R1398,50,21,5,59.2,0,8769,5,1,5.2,2,6,19,Medium
R1399,308,11,1,97.1,6,8262,16,69,3.7,2,11,5,Medium
R1400,327,11,2,94.2,22,3008,37,20,12.3,3,6,20,Medium
R1401,39,29,8,94.1,25,2070,24,120,4.7,2,48,6,High
R1402,322,16,2,94.6,15,3264,14,79,13.8,3,47,18,Medium
R1403,445,12,7,96.5,21,9184,9,44,4.1,1,20,16,High
R1404,116,25,6,56.8,1,7971,11,109,8.0,5,46,11,High
R1405,486,16,8,78.0,24,9051,17,37,5.1,3,53,7,High
R1406,169,30,6,72.8,12,1449,36,4,7.6,2,40,16,High
R1407,332,12,4,76.9,25,4805,8,68,12.6,1,10,10,Medium
R1408,476,18,8,62.6,10,885,39,4,1.2,2,29,7,High
R1409,200,30,8,57.3,21,7207,37,68,12.8,4,28,2,High
R1410,486,6,1,75.1,5,3730,25,10,10.9,3,18,19,Low
R1411,347,19,0,57.0,12,3475,12,119,4.7,1,47,11,Medium
R1412,110,12,3,71.4,12,833,14,19,9.2,4,47,9,Medium
R1413,471,29,6,84.9,22,5174,18,113,10.0,2,31,1,High
R1414,232,26,6,71.6,6,8098,21,77,0.7,5,30,2,High
R1415,376,24,7,60.7,22,3753,9,82,2.2,1,55,16,High
R1416,54,5,5,69.4,23,4302,30,37,8.3,2,59,19,High
R1417,153,3,1,72.4,6,1517,40,109,7.7,1,38,2,Medium
R1418,260,15,1,59.9,1,6458,16,11,11.6,6,9,8,Medium
R1419,243,19,5,74.3,4,7342,7,85,14.0,6,17,7,Medium
R1420,391,10,0,80.0,4,5692,21,118,3.0,3,17,2,Medium
R1421,220,12,2,96.7,16,1142,19,24,9.6,2,47,15,Medium
R1422,32,27,7,58.1,7,9957,38,37,8.6,1,40,11,High
R1423,49,3,1,73.0,17,386,15,93,14.0,2,7,5,Low
R1424,481,3,3,55.3,0,9319,8,105,6.1,4,12,8,Medium
R1425,410,20,0,79.8,2,424,35,120,8.8,3,23,20,Medium
R1426,218,14,3,85.0,19,4196,27,82,7.1,1,34,18,Medium
R1427,470,11,3,61.4,20,2956,29,33,13.3,2,52,1,High
R1428,241,25,4,61.3,14,6823,39,110,3.8,3,13,12,High
R1429,126,30,6,73.5,13,7646,33,57,14.3,3,28,11,High
R1430,186,21,6,60.9,16,3473,20,28,10.8,4,17,20,High
R1431,206,28,7,79.1,24,6788,28,83,5.0,3,14,16,High
R1432,75,17,7,68.2,24,6852,8,26,3.6,4,15,13,High
R1433,499,16,6,62.9,14,490,18,50,8.7,1,22,19,Medium
R1434,413,4,4,80.3,25,3340,14,53,5.1,1,60,5,Medium
R1435,410,29,7,68.9,24,8793,7,87,1.9,0,10,1,High
R1436,24,29,0,69.6,2,5233,27,26,11.3,1,24,3,Medium
R1437,205,19,5,80.7,14,7883,26,91,3.0,2,11,18,High
R1438,101,28,2,62.2,3,8821,31,21,8.6,5,35,9,High
R1439,373,27,3,97.9,21,2502,33,13,11.5,1,29,16,Medium
R1440,214,15,2,88.8,18,6037,33,75,8.8,3,6,16,Medium
R1441,363,18,5,94.0,2,6161,9,23,2.5,2,48,13,Medium
R1442,489,4,1,98.7,25,3329,25,38,10.8,6,10,12,Medium
R1443,328,25,7,55.7,18,6944,15,47,12.8,1,37,9,High
R1444,286,28,0,76.5,5,952,20,90,4.9,3,32,11,Medium
R1445,40,8,7,84.0,10,9132,7,17,13.1,4,5,19,Medium
R1446,29,9,6,63.8,15,6326,29,5,10.6,2,49,13,High
R1447,191,11,8,92.6,25,7055,31,91,5.5,2,51,9,High
R1448,302,6,6,67.4,2,7470,10,104,10.2,2,60,17,Medium
R1449,478,3,0,90.7,25,1853,20,10,3.1,0,14,19,Low
R1450,430,7,1,93.0,0,320,26,112,13.7,0,14,19,Low
R1451,340,30,7,82.8,10,1833,12,8,10.7,1,52,3,Medium
R1452,115,2,1,55.2,25,3918,18,7,10.9,3,25,17,Medium
R1453,118,15,3,86.2,15,3148,35,37,11.1,4,60,2,High
R1454,246,5,5,55.3,5,3339,21,19,13.2,4,17,4,Medium
R1455,379,24,1,63.3,10,3830,15,51,9.7,4,23,20,Medium
R1456,231,16,4,64.6,8,5748,20,68,0.6,5,21,10,High
R1457,406,5,1,57.7,15,5739,8,80,11.5,3,10,15,Medium
R1458,26,23,1,69.0,24,6022,9,73,4.3,6,25,15,High
R1459,203,23,7,71.3,9,8113,25,70,15.0,1,19,19,Medium
R1460,107,1,1,73.0,14,5414,30,60,13.1,3,33,5,Medium
R1461,92,23,6,73.5,0,2384,25,49,14.9,5,14,13,Medium
R1462,207,0,0,89.8,21,2930,14,76,14.2,1,11,1,Low
R1463,220,15,2,66.9,6,455,36,51,2.8,6,59,18,High
R1464,162,7,3,76.4,23,8277,32,56,14.2,1,36,2,Medium
R1465,200,30,1,57.9,10,7910,23,19,3.9,3,56,7,High
R1466,233,15,0,97.1,20,2698,26,81,5.0,4,32,20,Medium
R1467,82,19,2,78.3,10,6217,13,48,8.7,3,9,1,Medium
R1468,248,11,6,65.8,10,3924,25,82,13.8,3,55,9,High
R1469,304,10,5,85.7,4,5372,19,91,9.1,1,57,8,Medium
R1470,270,18,7,94.2,10,8471,11,50,11.4,4,25,3,High
R1471,290,15,7,81.5,23,4458,9,58,6.1,1,55,9,High
R1472,384,4,4,92.3,1,7861,20,29,9.7,2,27,20,Low
R1473,267,17,2,89.5,10,8041,25,78,13.3,1,57,7,Medium
R1474,492,19,1,68.0,1,3293,38,103,7.8,1,55,13,Medium
R1475,236,22,0,68.1,6,2460,23,4,0.9,5,53,14,Medium
R1476,60,11,7,89.1,4,7418,29,72,2.8,3,53,11,High
R1477,75,29,4,75.1,6,7527,23,21,9.0,2,6,4,Medium
R1478,46,27,5,79.3,11,2422,25,107,10.9,4,6,14,Medium
R1479,350,10,6,62.8,19,665,23,42,8.7,4,7,17,High
R1480,48,23,2,76.9,2,2392,14,14,8.1,5,20,3,Medium
R1481,406,11,5,69.9,13,5729,9,64,6.3,0,38,14,Medium
R1482,348,25,6,85.6,17,1565,18,58,2.8,6,60,9,High
R1483,136,7,0,83.4,17,496,8,83,12.7,1,35,2,Low
R1484,41,7,3,96.8,4,8301,25,42,6.1,5,47,13,Medium
R1485,29,16,4,76.7,21,6898,40,9,1.1,4,7,7,High
R1486,137,18,7,55.3,22,1420,28,66,13.5,1,30,7,High
R1487,97,17,0,95.3,23,4710,22,72,5.9,3,15,7,Medium
R1488,406,19,4,69.7,10,4365,30,16,9.9,3,6,15,Medium
R1489,328,30,8,88.9,6,3128,12,6,6.1,0,52,7,Medium
R1490,122,24,4,91.6,21,3611,24,47,7.2,5,45,8,High
R1491,310,28,4,64.5,0,5177,5,28,12.5,6,26,7,Medium
R1492,275,30,6,86.7,14,6502,15,118,7.6,4,43,10,High
R1493,427,21,3,58.4,3,104,6,80,1.2,0,22,1,Medium
R1494,175,14,6,87.1,5,1693,8,48,3.6,1,32,12,Medium
R1495,58,8,6,83.8,9,673,12,39,2.6,3,56,7,Medium
R1496,81,29,0,93.7,15,2960,5,15,1.7,1,34,19,Medium
R1497,375,17,4,66.9,22,9327,35,9,11.1,1,18,3,High
R1498,223,21,6,56.3,15,7185,34,53,3.0,0,41,2,High
R1499,356,2,2,86.2,23,7950,17,103,4.4,5,22,7,High
R1500,140,22,7,90.7,20,822,32,72,14.3,3,55,8,High
R1501,386,27,0,67.6,2,9898,28,59,12.4,4,15,12,Medium
R1502,357,28,5,87.0,17,2487,25,95,9.8,3,16,19,High
R1503,225,11,7,98.3,24,4891,14,105,10.3,3,48,18,High
R1504,228,11,6,58.8,8,2355,26,119,5.7,3,33,18,High
R1505,461,21,2,94.1,10,8396,14,77,5.5,5,58,6,High
R1506,455,25,2,98.0,25,3472,30,11,12.4,0,37,18,Medium
R1507,41,16,1,80.3,8,9118,15,95,3.8,5,55,11,Medium
R1508,270,3,3,87.2,25,6216,40,120,6.2,5,57,13,High
R1509,132,18,5,88.0,22,1843,19,82,9.8,1,58,7,High
R1510,386,0,0,90.2,15,2465,9,89,14.3,1,53,13,Low
R1511,175,26,3,78.8,3,3229,6,3,1.0,0,18,6,Medium
R1512,443,24,1,57.9,14,2048,32,46,10.1,0,49,20,Medium
R1513,173,10,6,71.5,9,7120,35,82,9.4,0,48,16,Medium
R1514,36,15,5,70.5,8,7859,29,97,8.3,0,32,19,Medium
R1515,337,28,5,96.8,21,8133,6,49,1.1,3,53,3,High
R1516,263,8,8,59.1,7,1640,34,49,11.4,1,43,16,High
R1517,37,10,4,79.3,22,7492,18,79,6.5,0,48,5,Medium
R1518,323,27,0,96.2,14,1232,37,24,7.2,5,41,13,Medium
R1519,430,29,8,83.8,1,4248,12,90,8.0,1,33,10,Medium
R1520,457,5,0,67.8,10,7091,12,88,2.7,6,9,7,Medium
R1521,266,15,3,55.3,24,2993,29,6,4.9,1,26,19,High
R1522,452,15,3,86.4,25,2002,11,22,2.5,5,43,19,High
R1523,32,14,7,71.1,22,7144,6,91,8.1,5,28,18,High
R1524,74,13,7,56.5,13,9230,32,9,1.4,2,47,12,High
R1525,263,12,8,95.4,4,2082,6,21,1.8,1,47,7,Medium
R1526,248,21,8,71.4,8,7929,9,102,10.0,4,31,4,High
R1527,306,1,1,63.9,9,2282,30,2,5.9,4,55,1,Medium
R1528,77,16,4,80.8,0,5069,13,41,13.9,6,35,7,Medium
R1529,116,21,7,76.0,6,1722,16,50,8.5,5,39,3,High
R1530,94,21,2,92.7,4,1214,35,66,14.9,0,41,6,Medium
R1531,146,20,6,91.9,11,3792,21,53,1.4,3,7,11,High
R1532,419,12,0,63.5,23,6222,30,58,9.3,6,19,5,High
R1533,265,19,8,94.1,20,2676,20,77,8.1,3,54,3,High
R1534,241,19,0,73.4,17,1490,14,99,9.8,2,22,13,Medium
R1535,163,14,5,68.4,17,5459,24,110,14.3,4,36,13,High
R1536,407,27,8,95.6,19,9919,13,61,5.4,5,36,11,High
R1537,292,16,1,66.1,8,4544,23,77,7.9,2,25,8,Medium
R1538,309,6,5,97.8,6,5588,38,87,6.5,2,43,14,Medium
R1539,362,21,3,88.8,25,2381,23,25,10.5,2,50,18,Medium
R1540,303,10,3,90.1,18,8621,16,16,11.0,2,45,8,Medium
R1541,125,19,5,63.1,20,8242,28,32,6.2,5,22,19,High
R1542,255,17,5,61.4,19,1280,21,16,14.5,6,40,13,High
R1543,21,2,2,90.7,8,8210,34,120,14.9,4,57,9,Medium
R1544,281,18,6,63.8,1,7107,36,77,2.1,3,29,11,High
R1545,81,4,2,60.4,24,992,7,109,1.5,0,40,18,Medium
R1546,157,4,1,95.7,21,7034,18,6,13.4,4,8,1,Medium
R1547,77,10,4,67.5,7,3876,19,80,9.3,6,22,18,Medium
R1548,201,26,3,61.7,17,9670,25,98,3.7,6,57,13,High
R1549,124,17,0,97.0,2,9459,22,104,7.6,0,20,14,Low
R1550,133,7,7,81.8,5,3710,22,14,0.5,5,24,14,High
R1551,316,27,6,74.6,7,1744,10,53,10.8,3,14,13,Medium
R1552,455,19,6,56.0,24,4551,18,113,10.3,3,55,17,High
R1553,195,10,0,77.0,19,6455,33,78,3.5,1,50,3,Medium
R1554,327,26,6,62.4,12,3493,18,41,5.6,2,20,10,High
R1555,480,7,6,81.4,15,497,20,83,10.6,3,50,1,Medium
R1556,219,18,5,70.8,0,8143,32,93,7.0,3,10,14,Medium
R1557,150,11,3,66.8,8,7940,15,22,3.7,4,46,17,Medium
R1558,326,16,3,92.2,12,6073,8,98,3.8,5,15,3,Medium
R1559,335,22,8,57.2,2,8705,21,58,2.7,1,59,14,High
R1560,162,27,2,65.1,9,2830,38,9,3.9,0,44,2,High
R1561,313,20,2,67.7,15,7034,15,31,0.7,1,43,3,High
R1562,54,24,1,66.8,25,3028,39,16,11.8,4,53,12,High
R1563,390,5,2,78.5,5,4124,5,42,12.9,6,22,17,Low
R1564,436,0,0,77.2,1,6552,13,22,1.2,1,59,5,Low
R1565,143,27,5,80.3,8,7676,20,59,3.0,0,50,8,Medium
R1566,102,20,0,58.0,12,2326,5,37,7.2,6,36,13,Medium
R1567,301,17,6,94.1,14,8614,27,101,9.3,5,58,13,High
R1568,404,8,8,96.2,5,8343,36,17,12.2,1,9,20,Medium
R1569,208,26,4,60.1,13,6368,29,39,5.9,2,36,7,High
R1570,404,0,0,74.2,20,2511,33,111,9.1,6,52,5,High
R1571,352,25,4,72.4,4,368,19,116,6.9,3,30,15,Medium
R1572,384,14,5,93.8,14,2236,31,7,4.1,1,45,4,Medium
R1573,171,11,0,70.4,12,7200,9,77,4.8,6,37,18,Medium
R1574,264,1,1,58.0,10,3269,24,119,7.8,0,11,5,Medium
R1575,401,22,8,66.9,0,8447,18,81,8.1,0,33,13,Medium
R1576,191,25,7,70.3,10,4768,28,7,12.1,4,12,15,High
R1577,408,15,6,88.6,1,9078,37,9,15.0,1,57,13,Medium
R1578,189,21,7,87.2,20,4476,14,19,11.6,1,10,20,Medium
R1579,216,8,6,64.7,1,5062,5,18,3.3,4,17,14,Medium
R1580,429,26,2,73.8,18,4280,18,1,14.9,1,59,2,Medium
R1581,155,23,7,89.6,7,7772,15,119,10.3,0,10,15,Medium
R1582,435,28,5,82.1,11,7782,21,74,8.6,6,52,11,High
R1583,343,21,5,78.2,21,9762,38,88,4.5,4,54,8,High
R1584,135,26,0,74.1,8,5476,37,39,7.7,5,30,2,High
R1585,322,9,4,59.7,4,9193,19,109,11.9,1,34,5,Medium
R1586,494,3,3,77.3,13,6651,31,73,5.3,0,20,6,Medium
R1587,339,15,1,89.1,1,7237,30,105,6.8,3,35,1,Medium
R1588,190,30,5,60.2,7,8071,36,119,14.4,4,18,13,High
R1589,240,27,3,67.6,19,2801,26,21,9.2,4,29,3,High
R1590,71,2,1,90.0,0,2558,39,55,7.6,0,55,5,Low
R1591,46,0,0,62.8,4,4874,28,87,10.4,6,49,12,Medium
R1592,361,18,1,56.8,9,5509,11,5,14.9,0,7,20,Low
R1593,20,26,3,89.7,12,8134,11,35,9.1,4,58,17,Medium
R1594,56,26,4,61.1,14,4359,15,83,11.8,4,11,16,High
R1595,330,7,4,56.4,10,2767,35,104,7.1,4,24,10,High
R1596,354,22,6,73.4,7,5167,25,27,4.0,1,50,5,High
R1597,38,2,0,80.9,3,2519,11,58,2.3,5,9,10,Low
R1598,414,10,5,80.5,22,7990,32,53,2.3,5,47,18,High
R1599,393,18,4,96.2,6,7853,7,47,2.8,1,27,3,Medium
R1600,45,1,1,72.1,15,7694,30,101,10.8,2,33,5,Medium
R1601,437,10,6,84.0,24,9382,16,1,13.1,1,21,14,Medium
R1602,67,15,5,61.5,4,4032,37,78,7.7,2,17,6,High
R1603,233,1,0,82.8,22,5719,28,44,0.5,3,54,17,Medium
R1604,123,6,2,69.6,21,8373,22,68,6.2,4,42,20,High
R1605,494,19,3,74.1,23,745,34,93,9.1,2,39,15,High
R1606,42,9,5,55.8,18,1128,35,107,13.2,3,43,19,High
R1607,138,29,5,91.7,7,7460,21,39,13.4,6,7,8,High
